pca1,pca2
0.6798420000000001,0.00357275
-0.013186400000000001,0.0603285
0.00936749,0.0903489
0.00577363,0.17663
0.00844514,-0.151224
0.0259933,-0.08462689999999999
0.026742200000000004,-0.132473
-0.038455300000000005,0.0800373
-0.0561712,-0.0332661
-0.023487099999999997,-0.246525
-0.017661000000000003,-0.109481
-0.0180644,-0.0237278
-0.012672899999999999,-0.08829760000000002
-0.0185278,-0.0172486
-0.0263318,0.09718810000000001
-0.056376699999999995,0.023447799999999998
-0.0336582,-0.08942869999999999
-0.0457039,-0.16021300000000002
-0.031879500000000005,0.0228067
-0.0281118,0.089669
-0.0586903,0.059135400000000005
-0.031581200000000004,0.0450832
0.000597991,-0.125898
0.6798420000000001,0.00357275
-0.0794777,-0.052985199999999996
0.0114235,0.0125444
0.012840299999999999,0.184357
-0.018518400000000004,-0.0651692
0.00697945,-0.07043789999999998
-0.0178428,-0.25875
-0.027254300000000002,-0.14644000000000001
-0.0056346,-0.0792937
-0.0437702,-0.0620191
-0.09846419999999999,-0.0972746
-0.0259365,-0.20931799999999998
0.0111615,-0.09506569999999999
-0.0279449,-0.0804922
-0.00435482,-0.12016700000000001
-0.052625,0.0935684
-0.0414687,0.0361649
-0.021679300000000002,0.0840022
-0.029316500000000002,0.137488
0.00227645,0.0245679
-0.039321100000000005,0.18316400000000002
-0.0483539,0.11996199999999999
0.026377299999999996,-0.016028399999999998
-0.0308791,-0.257294
-0.0538172,0.0470124
-0.00925858,0.10642
0.016628999999999998,0.288463
-0.049649900000000004,-0.0338598
-0.0179222,0.291133
-0.03628030000000001,-0.102908
-0.020552599999999997,0.22394899999999998
-0.0052819,-0.0426589
-0.00124919,0.13534300000000002
-0.0810029,0.135452
0.00884636,0.016838299999999997
0.0186305,0.041599699999999996
-0.039877300000000004,0.00499703
-0.0534019,0.163666
-0.0410268,0.15261
-0.024799400000000003,-0.184176
